,Cell_type,Cohort,Condition,Hemisphere,Image,Cell_number,Mean,Time,Cohort_mean
291,PNN-pos,#021818,WT,RH,1,4,2294.199722,12 wk,3152
292,PNN-pos,#021818,WT,RH,1,5,2262.145968,12 wk,3152
293,PNN-pos,#021818,WT,RH,2,1,2171.756256,12 wk,3152
294,PNN-pos,#021818,WT,RH,2,2,2300.438369,12 wk,3152
295,PNN-pos,#021818,WT,RH,2,3,1988.768304,12 wk,3152
296,PNN-pos,#021818,WT,RH,2,4,1833.138091,12 wk,3152
297,PNN-pos,#021818,WT,RH,2,5,1960.856348,12 wk,3152
353,PNN-pos,#013118,Het,LH,1,1,3874.232159,12 wk,3186
354,PNN-pos,#013118,Het,LH,1,2,3122.929564,12 wk,3186
355,PNN-pos,#013118,Het,LH,1,3,3500.883689,12 wk,3186
356,PNN-pos,#013118,Het,LH,1,4,2921.860056,12 wk,3186
357,PNN-pos,#013118,Het,LH,1,5,3360.113531,12 wk,3186
358,PNN-pos,#013118,Het,LH,2,1,3748.583874,12 wk,3186
359,PNN-pos,#013118,Het,LH,2,2,3396.319277,12 wk,3186
360,PNN-pos,#022518,Het,LH,1,1,755.1464319,12 wk,2389
361,PNN-pos,#022518,Het,LH,1,2,913.4569045,12 wk,2389
362,PNN-pos,#022518,Het,LH,1,3,797.1626506,12 wk,2389
363,PNN-pos,#022518,Het,LH,1,4,1327.048193,12 wk,2389
364,PNN-pos,#022518,Het,LH,2,1,1317.204819,12 wk,2389
365,PNN-pos,#022518,Het,LH,2,2,2485.535218,12 wk,2389
366,PNN-pos,#021818,Het,LH,1,1,3432.040778,12 wk,3323
367,PNN-pos,#021818,Het,LH,1,2,1705.594532,12 wk,3323
368,PNN-pos,#021818,Het,LH,1,3,2449.700649,12 wk,3323
369,PNN-pos,#021818,Het,LH,1,4,3599.303985,12 wk,3323
370,PNN-pos,#021818,Het,LH,1,5,1795.467563,12 wk,3323
371,PNN-pos,#021818,Het,LH,2,1,3405.44671,12 wk,3323
372,PNN-pos,#021818,Het,LH,2,2,1804.175162,12 wk,3323
373,PNN-pos,#021818,Het,LH,2,3,2653.319741,12 wk,3323
374,PNN-pos,#013118,Het,RH,1,1,1185.431418,12 wk,3186
375,PNN-pos,#013118,Het,RH,1,2,1421.670528,12 wk,3186
376,PNN-pos,#013118,Het,RH,1,3,1109.536145,12 wk,3186
377,PNN-pos,#013118,Het,RH,1,4,2544.329008,12 wk,3186
378,PNN-pos,#013118,Het,RH,1,5,2798.473587,12 wk,3186
379,PNN-pos,#013118,Het,RH,2,1,2026.531974,12 wk,3186
380,PNN-pos,#013118,Het,RH,2,2,3174.636701,12 wk,3186
381,PNN-pos,#013118,Het,RH,2,3,1259.858202,12 wk,3186
382,PNN-pos,#013118,Het,RH,2,4,1116.190454,12 wk,3186
383,PNN-pos,#013118,Het,RH,2,5,912.5273401,12 wk,3186
384,PNN-pos,#022518,Het,RH,1,1,1270.184893,12 wk,2389
385,PNN-pos,#022518,Het,RH,1,2,1020.129286,12 wk,2389
386,PNN-pos,#022518,Het,RH,2,1,1588.619555,12 wk,2389
387,PNN-pos,#022518,Het,RH,2,2,1796.223818,12 wk,2389
388,PNN-pos,#022518,Het,RH,2,3,1469.414272,12 wk,2389
389,PNN-pos,#022518,Het,RH,2,4,1369.373494,12 wk,2389
390,PNN-pos,#021818,Het,RH,1,1,1777.395737,12 wk,3323
391,PNN-pos,#021818,Het,RH,1,2,2158.282206,12 wk,3323
392,PNN-pos,#021818,Het,RH,1,3,2618.563948,12 wk,3323
393,PNN-pos,#021818,Het,RH,1,4,2262.955514,12 wk,3323
394,PNN-pos,#021818,Het,RH,1,5,2213.222428,12 wk,3323
395,PNN-pos,#021818,Het,RH,2,1,2080.031974,12 wk,3323
396,PNN-pos,#021818,Het,RH,2,2,1559.002317,12 wk,3323
397,PNN-pos,#021818,Het,RH,2,3,1767.832715,12 wk,3323
398,PNN-pos,#021818,Het,RH,2,4,1914.18721,12 wk,3323
