	Cohort	Condition	Hemisphere	Subregion	Coordinates	Map ID	Weight 1	Weight 2	Mean 1	Mean 2	Variance 1	Variance 2	CV 1	CV 2	Index	$\Delta$ Mean	$\Delta$ Weight
684	061321A	TacHet	Right	S1FL	W2_3.4	38	0.646340855297404	0.3536591447025732	22.224598690487472	40.680565945788814	44.49910530089578	220.96494144567617	0.3001523250922963	0.3654051807827733	684	18.455967255301342	-0.29268171059483084
685	061321A	TacHet	Left	S1DZ	W1_2.3	19	0.3661469967679981	0.633853003231998	26.169843107366233	55.131525052505424	8.535739647050255	335.37347474083043	0.11163990570892587	0.33217301554274786	685	28.96168194513919	0.2677060064639999
686	061321A	TacHet	Left	S1DZ	W1_2.4	21	0.3243470256760024	0.6756529743239961	23.018416111871304	57.19357121230373	7.336490754842477	566.6456494786935	0.11767081206740354	0.4162062181215192	686	34.17515510043243	0.3513059486479937
687	061321A	TacHet	Left	S1DZ	W1_2.5	22	0.776706475022641	0.22329352497733915	32.64538802611915	74.94944796308323	136.86669994369757	373.9248201613601	0.3583662175913972	0.2580023776718642	687	42.30405993696408	-0.5534129500453019
688	061321A	TacHet	Left	S1DZ	W1_3.2	23	0.5684828956630654	0.4315171043369416	31.661488139503813	52.890917379695125	71.50208380250875	235.88968571227238	0.2670717953089891	0.2903844632068729	688	21.229429240191312	-0.1369657913261238
689	061321A	TacHet	Left	S1DZ	W2_1.1	25	0.35035540105784213	0.6496445989421408	23.32488117335876	51.2703017940366	13.65947756184477	367.2556525884909	0.15845195596654507	0.3737819889239192	689	27.945420620677837	0.29928919788429864
690	061321A	TacHet	Left	S1DZ	W5_1.1	26	0.4049073383739225	0.5950926616260759	34.48783810184623	68.1731181491702	68.93433789987472	273.2782925811267	0.2407419828312629	0.24248752972096374	690	33.685280047323964	0.19018532325215337
691	061321A	TacHet	Left	S1DZ	W1_3.4	27	0.3659130500237219	0.634086949976292	27.407864628287847	65.20615637793603	24.771786867238617	428.6581215044058	0.18159482447514666	0.317516959405616	691	37.79829174964818	0.2681738999525701
692	061321A	TacHet	Left	S1DZ	W2_1.3	27	0.33437773319811276	0.6656222668018902	27.106820232087028	61.338895056072005	12.093246096774912	356.18483474088305	0.12829001910117677	0.3076817689997488	692	34.23207482398497	0.3312445336037774
693	061321A	TacHet	Left	S1DZ	W2_1.2	28	0.4303295824255416	0.5696704175744816	22.14270592998755	49.624317217672264	16.83993267248748	366.3870967092049	0.1853273360242513	0.3857230044436104	693	27.481611287684714	0.13934083514893997
694	061321A	TacHet	Left	S1DZ	W2_1.4	30	0.3017761557413996	0.6982238442586111	21.119118836390964	48.868171757499226	13.232454914913726	296.75080063985956	0.17224412494217184	0.3525087146930966	694	27.749052921108262	0.39644768851721146
695	061321A	TacHet	Left	S1DZ	W2_2.2	31	0.32715466134940474	0.6728453386505925	30.179300392671845	60.80508125097305	12.316388306957206	232.6908419404584	0.11628736197677417	0.25087060223018237	695	30.62578085830121	0.34569067730118774
696	061321A	TacHet	Left	S1DZ	W5_2.1	31	0.39401576329921145	0.6059842367007872	26.699574369257135	62.64816880235525	20.109937423298458	311.6911302207119	0.1679581264406479	0.28180833935437394	696	35.948594433098116	0.2119684734015757
697	061321A	TacHet	Left	S1DZ	W2_2.3	33	0.3436095941020747	0.6563904058979211	26.50332458082274	53.642176361450325	17.16169434958964	306.9386538357175	0.1563074673021878	0.32660242301056125	697	27.138851780627586	0.3127808117958464
698	061321A	TacHet	Left	S1DZ	W2_2.1	34	0.3293797149869639	0.670620285013043	22.213363975587452	48.88399165232311	10.97349736710933	304.316835199945	0.14912765856989116	0.3568587320893129	698	26.67062767673566	0.34124057002607916
699	061321A	TacHet	Left	S1DZ	W2_2.4	34	0.40114856930361464	0.598851430696387	20.7553175773956	37.871885258568746	22.269913716508423	120.87861396236751	0.22736828410688484	0.2903072026461953	699	17.116567681173144	0.19770286139277238
700	061321A	TacHet	Left	S1DZ	W2_3.3	35	0.7410132594998061	0.2589867405001666	24.661173817025794	51.13445132299762	75.38836691379423	339.61801667768833	0.35207762308364404	0.36039749229288426	700	26.473277505971826	-0.4820265189996395
701	061321A	TacHet	Left	S1DZ	W3_1.1	36	0.5840574353180376	0.41594256468195046	32.003407887980075	49.4509158708684	73.64528438061564	186.27049664993768	0.2681490391249487	0.27599276458474403	701	17.447507982888325	-0.1681148706360871
702	061321A	TacHet	Left	S1DZ	W3_1.3	39	0.31160174687963854	0.6883982531203695	23.691981625738347	58.64480617376095	12.511273945157535	326.81858737666374	0.14929641509463926	0.30826471657299886	702	34.952824548022605	0.37679650624073097
703	061321A	TacHet	Left	S1DZ	W3_1.4	40	0.3276596080101367	0.6723403919898803	29.225073716432245	69.13674555490137	20.646574067389142	287.505614238817	0.15547779899803335	0.2452529458218557	703	39.91167183846912	0.34468078397974355
704	061321A	TacHet	Left	S1DZ	W5_2.2	41	0.33162792690685444	0.6683720730931406	28.5321668388855	56.06844493151397	17.699098393802533	243.07570951811417	0.1474486555468968	0.27806880468989303	704	27.53627809262847	0.3367441461862862
705	061321A	TacHet	Left	S1DZ	W3_2.1	42	0.6986411753958917	0.30135882460413205	33.21613290080436	62.24385449668862	88.08085495349489	304.36248396131134	0.2825476445952411	0.28028449971319436	705	29.02772159588426	-0.3972823507917596
706	061321A	TacHet	Left	S1DZ	W3_2.3	44	0.44346229486638666	0.5565377051335956	26.370351990750187	43.492675017220414	17.783225768671866	110.90618440437439	0.15991505224485267	0.24213733729637285	706	17.122323026470227	0.11307541026720891
707	061321A	TacHet	Left	S1DZ	W3_2.4	44	0.32729622488417937	0.6727037751158215	22.27958614746788	45.67028801335484	5.3182700922045445	300.2423188154846	0.10350899106050897	0.37940425951143986	707	23.39070186588696	0.3454075502316421
708	061321A	TacHet	Right	S1DZ	W1_3.2	23	0.3369096034936586	0.6630903965063389	25.361174677037763	44.83485599803226	13.51893328671097	171.52222601891884	0.14497791416393416	0.29210865359168303	708	19.473681320994498	0.3261807930126803
709	061321A	TacHet	Right	S1DZ	W1_3.1	25	0.4445974088742871	0.5554025911257101	27.359030857269108	41.24915882640845	32.14152165899053	83.74006146488881	0.20722039990690427	0.22184596857072325	709	13.89012796913934	0.110805182251423
710	061321A	TacHet	Right	S1DZ	W1_3.3	25	0.4324655746190946	0.5675344253809037	25.409779571208315	45.42678003891156	16.112076266323506	161.38533173747365	0.15797008684056968	0.2796533818311692	710	20.017000467703244	0.13506885076180913
711	061321A	TacHet	Right	S1DZ	W1_3.4	26	0.35810899308069494	0.6418910069192978	28.080031455599187	69.23181634187681	41.28912939735135	345.11929735526394	0.22883385287097496	0.2683359718392145	711	41.151784886277625	0.28378201383860285
712	061321A	TacHet	Right	S1DZ	W5_1.1	26	0.40387789947163444	0.5961221005283658	31.505848055066053	70.72376675535381	45.62672073456744	268.29706885435127	0.21439687655871006	0.23160214686651498	712	39.217918700287754	0.19224420105673135
713	061321A	TacHet	Right	S1DZ	W2_1.3	27	0.39223302350131667	0.6077669764986807	28.860889436059697	64.97769505701984	42.091629254432554	254.16584209529242	0.22479578156203725	0.24535464849578595	713	36.11680562096015	0.21553395299736405
714	061321A	TacHet	Right	S1DZ	W2_1.2	28	0.38396435594426	0.6160356440557326	19.358142472774492	48.654060057562376	12.076785951275406	315.3210839652399	0.17951965402784884	0.36497021092149196	714	29.295917584787883	0.23207128811147265
715	061321A	TacHet	Right	S1DZ	W2_1.4	31	0.4199732788482886	0.5800267211517006	24.133433771083382	52.07422584374266	21.55855136451471	263.4672323915475	0.19239362102593127	0.31170264131030645	715	27.940792072659278	0.160053442303412
716	061321A	TacHet	Right	S1DZ	W2_2.2	32	0.4371902267906755	0.5628097732093191	33.18656939372554	62.69407012635079	51.42523681912479	201.906909508274	0.21608558186968457	0.22664655661135483	716	29.507500732625246	0.12561954641864365
717	061321A	TacHet	Right	S1DZ	W2_2.3	33	0.3457881483793424	0.6542118516206351	25.915790810771075	51.04533561802492	20.30515136831302	272.9366445234489	0.17387560333371538	0.3236494403778737	717	25.129544807253847	0.3084237032412927
718	061321A	TacHet	Right	S1DZ	W2_2.4	34	0.3982272224047221	0.6017727775952671	20.487113376670496	47.4348042189944	20.772657902204852	320.4458019456138	0.22246682854185468	0.3773811301880359	718	26.947690842323905	0.20354555519054507
719	061321A	TacHet	Right	S1DZ	W2_3.3	35	0.7093493655521584	0.29065063444782335	23.638310406362102	49.90402104285756	69.35855094695509	283.0812983238977	0.3523169797564948	0.3371475816580846	719	26.265710636495456	-0.4186987311043351
720	061321A	TacHet	Right	S1DZ	W3_1.1	36	0.5692007100224135	0.4307992899775543	30.459381633878134	51.55691320348858	75.89146342389621	185.88229979823777	0.2860061562687295	0.26444302166727923	720	21.097531569610442	-0.13840142004485917
721	061321A	TacHet	Right	S1DZ	W3_1.2	39	0.41974115086477876	0.5802588491352267	31.25742360216896	58.63226807253022	35.81118110799801	129.41967757679384	0.1914503409473409	0.1940275779642925	721	27.374844470361264	0.16051769827044798
722	061321A	TacHet	Right	S1DZ	W3_1.4	41	0.4420444804646227	0.5579555195354009	31.477483410120023	47.30941230941429	58.54126275062536	95.26789254471821	0.24306981996006843	0.2063125875232937	722	15.831928899294269	0.11591103907077821
723	061321A	TacHet	Right	S1DZ	W5_2.2	41	0.5790573063583653	0.4209426936416276	36.83193861565978	57.37047178645398	84.31641370867158	277.8303166365189	0.2493052848428881	0.29053696507761	723	20.538533170794203	-0.15811461271673766
724	061321A	TacHet	Right	S1DZ	W3_2.1	42	0.521291491301744	0.4787085086982398	35.248778411717254	64.25280769355834	83.04383268799128	250.4812431580094	0.2585292116073153	0.24631762871071636	724	29.004029281841085	-0.04258298260350424
725	061321A	TacHet	Left	S1ULp	W1_2.3	19	0.7193983434772427	0.2806016565228482	34.91569860197229	60.17477359149475	54.74610754460705	213.77506771974683	0.211912164364398	0.2429763822505341	725	25.25907498952246	-0.43879668695439455
726	061321A	TacHet	Left	S1ULp	W1_2.4	21	0.6695876017783934	0.3304123982217203	32.51117356887642	57.90686483420568	72.28323579382676	213.51522421228353	0.26150870265879106	0.2523389962584146	726	25.395691265329255	-0.3391752035566731
727	061321A	TacHet	Left	S1ULp	W1_2.5	22	0.6147679958143779	0.3852320041856834	29.958017836736907	57.75681584766181	66.70843733515802	314.01981163460584	0.2726323007697404	0.3068140771853198	727	27.798798010924905	-0.22953599162869454
728	061321A	TacHet	Left	S1ULp	W1_3.2	23	0.3558509537306541	0.6441490462693582	28.53035917203615	64.89193972238802	31.769920023061804	398.41663472891594	0.19756082073321268	0.30759408184289916	728	36.36158055035187	0.2882980925387041
729	061321A	TacHet	Left	S1ULp	W2_1.1	25	0.3497529601552907	0.6502470398447329	26.995832962301208	64.79103213830504	38.95430587074552	592.5442085356875	0.23119636562444226	0.37570370721649327	729	37.795199176003834	0.30049407968944214
730	061321A	TacHet	Left	S1ULp	W5_1.1	26	0.34549834968927623	0.654501650310881	32.069975426666986	68.08495974403874	38.92626342043725	326.01881774833856	0.19454619066878556	0.26519794173297967	730	36.014984317371756	0.3090033006216048
731	061321A	TacHet	Left	S1ULp	W1_3.4	27	0.35528478691466414	0.6447152130852984	31.137939125254096	70.12053704647373	40.42646550865367	471.84722438994936	0.20419402083672786	0.3097814931126608	731	38.982597921219636	0.2894304261706343
732	061321A	TacHet	Left	S1ULp	W2_1.3	27	0.34426162858707077	0.6557383714130638	28.937453662941472	65.45036397008616	28.469318934264706	457.7492638723609	0.18438612012305727	0.32689009494152893	732	36.512910307144686	0.311476742825993
733	061321A	TacHet	Left	S1ULp	W2_1.2	28	0.585826089574813	0.41417391042507373	26.797067674906838	56.43914091157398	95.63250838219099	446.84853935456056	0.3649349857973373	0.3745413545567207	733	29.64207323666714	-0.17165217914973924
734	061321A	TacHet	Left	S1ULp	W2_1.4	30	0.3725307956404959	0.6274692043595195	27.409743192042754	59.25244016618099	35.37039804545084	390.8958186590767	0.2169776529199167	0.33367546321966657	734	31.842696974138235	0.25493840871902357
735	061321A	TacHet	Left	S1ULp	W2_2.2	31	0.34163487522901015	0.6583651247709849	34.14794401179552	72.4054874288688	54.17590884879616	233.68778068124178	0.21554529242670717	0.21112833390854627	735	38.25754341707327	0.3167302495419747
