	Cohort	Condition	Hemisphere	Map ID	Weight 1	Weight 2	Mean 1	Mean 2	Variance 1	Variance 2	CV 1	CV 2	Index	$\Delta$ Mean	$\Delta$ Weight
65	102319	SW	Right	32	0.37014955691973395	0.6298504430801654	28.541202469203593	68.89425291294434	53.5927199255085	605.3923593303375	0.256496021388923	0.3571375152068714	65	40.35305044374074	0.2597008861604314
66	102319	SW	Right	32	0.36548427696207064	0.6345157230379076	31.62369860137765	72.54637322388086	68.7478133601757	554.2665855308192	0.2621903977777002	0.3245216257064991	66	40.92267462250321	0.26903144607583696
67	102319	SW	Right	33	0.3666583464533079	0.6333416535468049	33.94519360476518	74.78808669101258	105.18936525687523	482.09314387601773	0.30213958422087933	0.2935844539249973	67	40.8428930862474	0.266683307093497
68	102319	SW	Right	34	0.3793028521649878	0.620697147835029	32.51075194619655	79.25625265301103	108.02243965792889	527.4130282152689	0.3196906806426742	0.28976230810402354	68	46.74550070681448	0.24139429567004123
69	102319	SW	Right	35	0.34445765693763764	0.6555423430623227	31.282286255786097	75.13470812410065	83.00062367294613	472.81833816116716	0.2912340783881995	0.2894053481090733	69	43.85242186831456	0.3110846861246851
70	102319	SW	Right	35	0.3432010457075618	0.6567989542925391	29.798575004054015	71.72285546466702	83.01225684513014	434.47710634830725	0.3057564408647106	0.2906202533964325	70	41.924280460613005	0.31359790858497727
71	102319	SW	Right	36	0.33669806276907793	0.6633019372309353	29.174467381016076	69.07870408196919	80.97739410195449	386.7202725780584	0.30844587191997686	0.28467825036762706	71	39.90423670095312	0.3266038744618574
72	102319	SW	Right	37	0.38955262273918684	0.6104473772607913	29.355875002945325	67.95704814523883	83.16314773494838	472.05450944982675	0.3106493360433984	0.31971393754694805	72	38.601173142293504	0.2208947545216045
73	102319	SW	Right	38	0.37186964902900854	0.6281303509708102	30.047645541282947	68.93253784086568	75.45417747606147	408.51450696077575	0.2890887539391846	0.2932104698630917	73	38.88489229958273	0.2562607019418016
74	102319	SW	Right	39	0.38029766960674466	0.6197023303932111	26.277504582141226	65.65323192829685	65.13159631775905	550.3762318322046	0.30712257526905784	0.35733349339246023	74	39.37572734615562	0.23940466078646644
75	102319	SW	Right	40	0.4381001589939518	0.5618998410060623	29.059502602170305	70.03124655948533	96.19021287688092	490.04361942500486	0.33750271166647455	0.3161007400150982	75	40.97174395731502	0.12379968201211045
76	102319	SW	Right	40	0.3560347888919885	0.6439652111079425	30.457659143296446	70.77463208297662	86.92219374317122	451.69585815403497	0.30610386777007065	0.3002931556375171	76	40.31697293968018	0.287930422215954
77	102319	SW	Right	41	0.41409014042062425	0.5859098595792289	32.51812065631281	72.0311242723507	120.70699092250432	443.79387259898795	0.3378631086635574	0.29246268143013326	77	39.513003616037885	0.17181971915860467
78	102319	SW	Right	42	0.4402028541381645	0.5597971458616604	26.364219973102955	65.40774830742468	78.87565385014024	555.0525113199867	0.33686551903407397	0.36019513058887553	78	39.04352833432173	0.1195942917234959
79	102319	SW	Right	43	0.4960127850078048	0.5039872149921926	37.33683174257383	72.12570653527672	153.7128604640404	338.39519380818217	0.33206082272950366	0.255048053036897	79	34.78887479270289	0.007974429984387743
80	102319	SW	Right	45	0.5773892402825893	0.4226107597174159	31.721846482225928	65.73510940252872	128.2744845324945	431.02105698852205	0.35703573012938944	0.3158288898315524	80	34.01326292030279	-0.1547784805651734
81	102319	SW	Right	46	0.5328618372076636	0.4671381627922943	35.93932523164562	67.32351912834261	90.22130205653868	404.95204156782665	0.26429237056094124	0.29890624384967673	81	31.384193896696992	-0.06572367441536925
82	102319	SW	Right	46	0.5170188645849663	0.48298113541493465	32.119254612276755	65.93584548650068	80.00991023994375	367.1988120581886	0.27848796617711363	0.29062237951463893	82	33.81659087422393	-0.034037729170031616
83	102319	SW	Right	48	0.5706439167474929	0.4293560832525743	32.582600686781	66.33737621602432	100.67882635813557	487.1611452951242	0.3079522107025425	0.3327193287239853	83	33.754775529243325	-0.14128783349491864
84	102319	NH	Left	29	0.3882870452570381	0.6117129547430099	40.28229934830912	90.57815149954475	186.04548621798057	407.9701963984368	0.33860652001926567	0.22299276127622136	84	50.29585215123563	0.2234259094859718
