	Cohort	Condition	Hemisphere	Subregion	Map ID	Area	Weight 1	Weight 2	Mean 1	Mean 2	Variance 1	Variance 2	CV 1	CV 2	Index	$\Delta$ Mean	$\Delta$ Weight
1425	121119B	SH	Left	S1DZ	32	0.194	0.39162094445874684	0.6083790555412762	31.1742126295786	69.82705360615216	57.98092227598812	393.24670050380655	0.24425702677354733	0.2839937788926501	1425	38.65284097657356	0.2167581110825294
1426	121119B	SH	Left	S1DZ	34	0.144	0.43330101182117714	0.5666989881788338	38.50286242951362	77.2865438905462	74.04705964736851	326.79172758583786	0.2234914387081475	0.23390076392807563	1426	38.78368146103258	0.13339797635765666
1427	121119B	SH	Left	S1DZ	36	0.168	0.34564466848061726	0.6543553315194038	35.482644434200665	63.08128409219449	73.72841558491228	270.06423287441015	0.24199225763420285	0.2605151653068657	1427	27.59863965799382	0.3087106630387866
1428	121119B	SH	Left	S1DZ	36	0.162	0.3646773637984735	0.6353226362015159	33.4316703550539	62.86496507574026	51.98356575435271	240.53547098937926	0.21566265981919608	0.24670666704447614	1428	29.433294720686355	0.27064527240304237
1429	121119B	SH	Left	S1DZ	37	0.234	0.43955087630461476	0.5604491236954129	42.21620862154761	67.10112582578196	76.16548443803812	152.25186191766636	0.2067282732041448	0.18388719974341686	1429	24.884917204234355	0.12089824739079813
1430	121119B	SH	Left	S1DZ	39	0.217	0.4740204394809042	0.5259795605191093	35.68778153641938	60.97101194430501	105.45937454296984	251.2068909608027	0.28775510954307393	0.25995152595001114	1430	25.283230407885632	0.0519591210382051
1431	121119B	SH	Left	S1DZ	40	0.224	0.82273423947472	0.17726576052534723	41.434618885863074	85.3093444550438	171.9026098398691	345.4226627690317	0.3164301714451607	0.2178606570758269	1431	43.874725569180725	-0.6454684789493728
1432	121119B	SH	Left	S1DZ	41	0.188	0.541165582530321	0.45883441746966475	33.50919757009419	59.863622898428275	79.12561941764918	312.34867437510843	0.265457214726913	0.2952275191621555	1432	26.354425328334088	-0.08233116506065624
1433	121119B	SH	Left	S1DZ	42	0.221	0.5954285806985342	0.4045714193014734	33.84256950856106	53.69117114001981	71.03320116938906	239.5674756446984	0.24903900005945193	0.2882777018548719	1433	19.84860163145875	-0.19085716139706083
1434	121119B	SH	Right	S1DZ	19	0.122	0.3869295406106037	0.6130704593894033	26.393082477447127	51.4621932584784	24.672410757053008	154.7154116554837	0.18819829234888144	0.24170102781114466	1434	25.069110781031274	0.2261409187787996
1435	121119B	SH	Right	S1DZ	21	0.105	0.4829798605638596	0.5170201394361346	33.2656495546857	60.446878555364464	53.750097922793955	249.94688891678402	0.22039088145660396	0.26154714800088924	1435	27.181229000678762	0.034040278872274954
1436	121119B	SH	Right	S1DZ	21	0.105	0.54635173149412	0.4536482685058728	38.70913481107343	64.29388654163432	101.62770872422779	203.29664152356315	0.2604309544545374	0.2217662345853789	1436	25.58475173056089	-0.09270346298824717
1437	121119B	SH	Right	S1DZ	24	0.167	0.3525878248148592	0.6474121751851553	30.634948292639503	58.92017468349824	41.705952034691364	276.52384046339023	0.21080546624624502	0.28222940761430154	1437	28.285226390858735	0.2948243503702961
1438	121119B	SH	Right	S1DZ	25	0.163	0.4979880730959411	0.5020119269040496	41.42715531027766	61.03306391881786	79.20659865354467	129.2387459342985	0.21483031708095898	0.18626497355605837	1438	19.605908608540197	0.004023853808108491
1439	121119B	SH	Right	S1DZ	28	0.227	0.550804306729469	0.44919569327053827	38.354337037686626	70.15630332835887	90.34437263678292	229.73886578117333	0.24781984039390104	0.21604814369770384	1439	31.801966290672247	-0.10160861345893074
1440	121119B	SH	Right	S1DZ	29	0.285	0.46295271017246603	0.537047289827574	35.098180416422906	63.7694749388295	61.83686064444698	240.43405303366572	0.22404699040527368	0.243156087969015	1440	28.67129452240659	0.07409457965510796
1441	121119B	SH	Right	S1DZ	30	0.207	0.4632585547514047	0.5367414452486183	37.031823508575286	74.26643610789935	98.35349205703137	233.12035630011104	0.2678056863219405	0.20558788350905288	1441	37.234612599324066	0.07348289049721363
1442	121119B	SH	Right	S1DZ	32	0.194	0.33794846108468357	0.6620515389152989	30.2922526100455	66.65028606182123	45.60078069221193	407.13951815544544	0.22292284097869702	0.30273986395107017	1442	36.35803345177573	0.3241030778306153
1443	121119B	SH	Right	S1DZ	34	0.161	0.4209373211735112	0.579062678826483	37.670869808254864	78.99482326032515	91.826360381772	347.86606018447793	0.254377114985365	0.23610620325509166	1443	41.323953452070285	0.1581253576529718
1444	121119B	SH	Right	S1DZ	36	0.152	0.3661258028474552	0.633874197152548	35.586359132813726	80.91350932107214	60.73823507443348	337.1583009781588	0.21900172052170214	0.22693207846778365	1444	45.327150188258415	0.2677483943050928
1445	121119B	SH	Right	S1DZ	36	0.157	0.3603269356951066	0.6396730643048858	33.86749340015184	72.54434833544441	40.00737538184059	378.86635564473454	0.18676133760061828	0.2683115921943122	1445	38.676854935292575	0.2793461286097792
1446	121119B	SH	Right	S1DZ	37	0.232	0.3750457074168439	0.62495429258316	41.41355334721773	81.6971787378601	121.59249550989351	284.66370813353365	0.26626304276252305	0.2065185142425912	1446	40.28362539064237	0.24990858516631614
1447	121119B	SH	Right	S1DZ	39	0.206	0.47438631514424606	0.5256136848557628	32.0026321818168	70.29159462124734	79.15297688012026	305.90499655944257	0.2780020039173555	0.24882263769046586	1447	38.28896243943054	0.0512273697115167
1448	121119B	SH	Right	S1DZ	40	0.21	0.6171942975928199	0.3828057024071683	36.146959496246986	61.8758338194661	110.66140798334997	257.0045742175681	0.2910223366143287	0.25908923108732856	1448	25.728874323219117	-0.23438859518565153
1449	121119B	SH	Right	S1DZ	42	0.242	0.7121566754735075	0.28784332452652445	34.235524397748186	58.028663380621694	55.360446760520524	239.85059168884564	0.2173315656300303	0.26688725190892987	1449	23.793138982873508	-0.424313350946983
1450	121119B	SH	Right	S1DZ	44	0.176	0.3768640061060499	0.62313599389393	38.99232539040825	50.7341462141513	58.557478877937676	77.81755714030103	0.1962510771809837	0.17387551944254775	1450	11.741820823743055	0.24627198778788012
1451	121119B	SH	Left	S1ULp	21	0.403	0.7285428952200906	0.27145710478002416	33.812573375495795	69.5731277442863	114.06846510811604	532.2514422424009	0.31586723153626434	0.331601812299115	1451	35.7605543687905	-0.4570857904400665
1452	121119B	SH	Left	S1ULp	22	0.585	0.41543984392860545	0.5845601560713939	35.07476309354107	71.16979980219917	66.57638790976856	438.97903481978364	0.2326298111380421	0.29439209587894694	1452	36.09503670865809	0.16912031214278844
1453	121119B	SH	Left	S1ULp	22	0.651	0.6550840431347759	0.34491595686509946	36.54748600049361	71.66619721483913	63.68208477311272	374.89419739340593	0.21834896007400154	0.270171789201015	1453	35.11871121434552	-0.3101680862696764
1454	121119B	SH	Left	S1ULp	26	1.615	0.3063645828603079	0.6936354171397227	40.323023627861176	78.68189515419643	89.61143417450121	313.5903603116384	0.2347624448660576	0.22506426271495444	1454	38.35887152633525	0.3872708342794148
